Sigla da Unidade da Federação,Ano,Produto Interno Bruto,População,PIB per capita
RR,2011,7303719268.0,460165.0770563477,15871.954722686729
RR,2012,7711467115.0,469523.99197227694,16424.01079997489
RR,2013,9010725277.0,488071.99001715396,18461.877471565836
RR,2014,9744122309.0,496935.9322850498,19608.407595308738
RR,2015,10242905137.0,505665.0139204531,20256.305765720477
RR,2016,11013237213.0,514228.97571759444,21416.990743532657
RR,2017,12104709147.0,522636.021325025,23160.878035752794
RR,2018,13369987723.0,576567.9910807894,23188.917750944973
RR,2019,14292227131.0,605761.0061350954,23593.838141196862
RR,2020,16024275696.0,631180.9339421447,25387.768917412857
RS,1999,75450458225.36108,10140050.0,7440.836901727416
RS,2000,85137542554.41658,10255417.0,8301.714357828314
RS,2001,94084498446.4093,10371504.0,9071.442140542906
RS,2002,98847210906.0,10489118.742790435,9423.786051992347
RS,2003,119325398651.0,10607616.99449707,11249.029703174861
RS,2004,131192206297.0,10726063.394340355,12231.160815833331
RS,2005,136362768609.0,10845087.145477846,12573.690444328071
RS,2006,147622599264.0,10963218.964590074,13465.260498837419
RS,2007,168009752063.0,10582887.131807331,15875.606530663956
RS,2008,190229822436.0,10855214.16440104,17524.280917445754
RS,2009,204344940204.0,10914127.989608698,18722.974515101534
RS,2010,241249163899.0,10695532.556789728,22556.068397533923
RS,2011,265056416296.0,10733030.035792178,24695.395001420664
RS,2012,287587018678.0,10770602.482530378,26701.107866942286
RS,2013,332292726085.0,11164043.210882718,29764.55033433414
RS,2014,357816423821.0,11207273.963484658,31927.15953824553
RS,2015,381992601118.0,11247972.04997475,33961.019766123754
RS,2016,408789528054.0,11286499.7938038,36219.3359785841
RS,2017,423270047295.0,11322895.140789708,37381.78637460024
RS,2018,457293957594.0,11329604.842185631,40362.74556472368
RS,2019,482464177479.0,11377238.876354853,42406.0866368639
RS,2020,470941846057.0,11422972.906994635,41227.607724485446
SC,1999,35681851467.0,5319295.0,6708.00387400962
SC,2000,42428003689.0,5408848.0,7844.184877999899
SC,2001,46534518974.0,5498958.0,8462.424876494782
SC,2002,54481893216.0,5590254.944450872,9745.869152189754
SC,2003,64098474683.0,5682235.855725863,11280.50230762762
SC,2004,73618965923.0,5774178.028030419,12749.687585942262
SC,2005,81549243683.0,5866567.959910599,13900.673143185191
SC,2006,91063448624.0,5958266.207316402,15283.548175840047
SC,2007,103728092246.0,5866486.808190962,17681.466887673178
SC,2008,121477257847.0,6052587.080731021,20070.303198732036
SC,2009,129098535042.0,6118742.894141695,21098.865776106326
SC,2010,153726007373.0,6249681.996956499,24597.41270801654
SC,2011,174068321733.0,6317054.16569371,27555.299854530316
SC,2012,191794652139.0,6383286.057923965,30046.382129610738
SC,2013,214512241571.0,6634253.815756848,32334.042008087996
SC,2014,242553370851.0,6727147.998288543,36055.89930721134
SC,2015,249079642281.0,6819190.049691303,36526.27958246677
SC,2016,256754668524.0,6910552.888814179,37153.99804545277
SC,2017,277270236580.0,7001160.957694404,39603.465518854406
SC,2018,298227090046.0,7075494.016392354,42149.295774270155
SC,2019,323263857398.0,7164788.02450509,45118.41191845024
SC,2020,349275015538.0,7252501.948796792,48159.24463087467
SE,1999,5434375241.0,1771158.0,3068.2611269011572
SE,2000,5920725123.000003,1803334.0,3283.210499552497
SE,2001,8204017843.999998,1835710.0,4469.125212588044
SE,2002,10332493905.0,1868513.36652912,5529.793947470256
SE,2003,11749573695.0,1901560.938568915,6178.909892755026
SE,2004,13336257992.0,1934596.028978131,6893.562166073667
SE,2005,14430118490.0,1967791.106968364,7333.155658087844
SE,2006,16419797845.0,2000738.2351103318,8206.869622849248
SE,2007,18218449648.0,1939426.1825685175,9393.731925322383
SE,2008,21418377992.0,1999374.1140950646,10712.541410337384
SE,2009,21707243228.0,2019678.998937037,10747.867972793987
SE,2010,26404893223.0,2068031.0180062382,12768.132099129061
SE,2011,29108271857.0,2089819.1835368325,13928.607836653528
SE,2012,32853180807.0,2110867.090331454,15563.832018358535
SE,2013,35335986073.0,2195662.0260346793,16093.545205960532
SE,2014,37472431502.0,2219574.135234899,16882.71227671081
SE,2015,38556530458.0,2242936.9105956056,17190.198384920877
SE,2016,38877438482.0,2265779.1036176817,17158.52989372437
SE,2017,40711486162.0,2288115.9191183695,17792.580271757597
SE,2018,42017981279.0,2278307.942906077,18442.625989094482
SE,2019,44689482882.0,2298696.069683282,19441.23169278198
SE,2020,45409656566.0,2318822.084061444,19583.070593524993
SP,1999,340281480600.0,36784649.0,9250.63823770617
SP,2000,370818991900.0,37383249.0,9919.389079852315
SP,2001,400629082630.0,37985573.0,10546.874799808864
SP,2002,518878815174.0,38595826.1729786,13443.910044793218
SP,2003,591454031635.0,39210662.77128949,15084.01005830663
SP,2004,652955557517.0,39825225.75251777,16395.526834539534
SP,2005,743042944444.0,40442793.15534511,18372.691064880022
SP,2006,824529299048.0,41055734.648280464,20083.170015386237
SP,2007,935653179992.0,39827689.428361356,23492.52978069373
SP,2008,1042510167945.0,41011635.29838446,25419.863420712387
SP,2009,1127093826121.0,41384039.13328397,27234.988409203186
SP,2010,1294695988452.0,41252159.20604995,31384.92659220909
SP,2011,1436672709019.0,41587183.012426175,34546.045318571465
SP,2012,1559033443696.0,41901218.50041088,37207.353377580475
SP,2013,1715238416566.0,43663669.89011128,39282.96501147876
SP,2014,1858196055494.0,44035303.05634541,42197.87140141499
SP,2015,1939901907118.0,44396484.586560905,43694.94398448882
SP,2016,2038757381630.0,44749698.363609634,45559.13126082462
SP,2017,2120761635108.0,45094865.28394289,47028.893905203615
SP,2018,2210561949467.0,45538936.93878767,48542.238753583195
SP,2019,2348338000290.0,45919049.742207825,51140.823110968195
SP,2020,2377638979835.0,46289333.77889918,51364.726724989894
TO,1999,2106170914.9999995,1131507.0,1861.3856697307215
TO,2000,2450497873.0000005,1157324.0,2117.382749342449
TO,2001,3066502074.0000005,1183302.0,2591.4788228195343
TO,2002,5322562915.0,1225234.0773030478,4344.119228805554
TO,2003,6612339054.0,1252029.7866417759,5281.295321044856
TO,2004,7251579977.0,1262643.8800700202,5743.171207227379
TO,2005,7707339683.0,1305727.8827958745,5902.715094432042
TO,2006,8655613320.0,1332441.060328279,6496.057182347324
TO,2007,10192843991.0,1243626.8997830346,8196.062655751706
TO,2008,12116393284.0,1280509.0816681825,9462.168958782686
TO,2009,13689804411.0,1292050.907577386,10595.406365735682
TO,2010,16404816089.0,1383453.083913995,11857.876699792616
TO,2011,18345687727.0,1400892.0050516252,13095.718771215295
TO,2012,20684429940.0,1417694.0013399997,14590.19359639608
TO,2013,23796656415.0,1478164.051250724,16098.792549355301
TO,2014,26189322646.0,1496879.9884695816,17495.940120607873
TO,2015,28930290798.0,1515125.9911418553,19094.313586553326
TO,2016,31584816193.0,1532902.0265393474,20604.588973181362
TO,2017,34108131985.0,1550194.0400082662,22002.49201372115
TO,2018,35666183075.0,1555228.996223829,22933.074911539854
TO,2019,39355941217.0,1572866.0223871258,25021.801384754828
TO,2020,43649803218.0,1590248.0226417326,27448.424771809245
